route_id,route_name,operator_name,operator_type,prefecture
1,伊豆箱根バス（株）,小田原駅〜小田原フラワーガーデン_02_on,2.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜小田原フラワーガーデン_03_on,23.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜兎河原循環_01_on,39.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜兎河原循環_02_on,39.5,神奈川県
1,伊豆箱根バス（株）,小田原駅〜兎河原循環_03_on,39.5,神奈川県
1,伊豆箱根バス（株）,小田原駅〜箱根関所跡〜箱根園（BP・湯本駅経由）,30.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜箱根関所跡〜箱根園（BP経由）,30.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜箱根関所跡〜箱根園_01_on,30.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜箱根関所跡〜箱根園_02_on,30.0,神奈川県
1,伊豆箱根バス（株）,小田原駅〜箱根関所跡〜箱根園_03_on,30.0,神奈川県
1,伊豆箱根バス（株）,真鶴駅〜ケープ真鶴（海岸）,24.0,神奈川県
1,伊豆箱根バス（株）,真鶴駅〜ケープ真鶴（山まわり）,24.0,神奈川県
1,伊豆箱根バス（株）,真鶴駅〜岩,16.0,神奈川県
1,伊豆箱根バス（株）,真鶴駅〜岩（役場経由）,16.0,神奈川県
1,伊豆箱根バス（株）,大雄山駅〜道了尊,24.0,神奈川県
1,伊豆箱根バス（株）,湯河原駅〜奥湯河原,86.0,神奈川県
1,伊豆箱根バス（株）,湯河原駅〜元箱根（箱根方面）,1.0,神奈川県
1,伊豆箱根バス（株）,湯河原駅〜真鶴駅,1.0,神奈川県
1,伊豆箱根バス（株）,熱海駅〜箱根園（箱根方面）,11.0,神奈川県
1,伊豆箱根バス（株）,箱根園〜熱海駅（熱海駅方面）,12.0,神奈川県
1,伊那バス（株）,伊那線,16.0,神奈川県
1,伊那バス（株）,横浜線,17.0,神奈川県
1,伊那バス（株）,飯田線,2.0,神奈川県
1,伊予鉄道（株）,オレンジライナーえひめ　八幡浜・松山⇔東京,1.0,神奈川県
1,一畑バス（株）,東京〜松江・出雲線,1.0,神奈川県
1,宇和島自動車（株）,宇和島・松山⇔横浜・池袋・大宮,1.0,神奈川県
1,羽後交通（株）,レーク＆ポート号,1.0,神奈川県
1,羽田京急バス,蒲45,2.0,神奈川県
1,羽田京急バス,空51,34.0,神奈川県
1,羽田京急バス,川76,6.0,神奈川県
1,羽田京急バス,川77,4.0,神奈川県
1,遠州鉄道（株）,イーライナー,2.0,神奈川県
1,横浜京急バス,107,38.5,神奈川県
1,横浜京急バス,110,44.0,神奈川県
1,横浜京急バス,141,14.0,神奈川県
1,横浜京急バス,4,62.5,神奈川県
1,横浜京急バス,94,4.0,神奈川県
1,横浜京急バス,磯6,12.0,神奈川県
1,横浜京急バス,羽田空港〜港南台駅・戸塚駅,9.0,神奈川県
1,横浜京急バス,羽田空港〜山下公園・みなとみらい地区・赤レンガ倉庫,7.5,神奈川県
1,横浜京急バス,羽田空港〜新横浜（ホテルアソシア新横浜）・新横浜プリンスホテル,21.5,神奈川県
1,横浜京急バス,羽田空港〜二俣川駅,11.0,神奈川県
1,横浜京急バス,横浜駅（YCAT）〜東京ビッグサイト（お台場）,12.0,神奈川県
1,横浜京急バス,横浜駅（YCAT）〜東扇島,11.5,神奈川県
1,横浜京急バス,横浜駅・羽田空港〜上総牛久駅・茂原駅,3.0,神奈川県
1,横浜京急バス,上1,109.0,神奈川県
1,横浜京急バス,上2,36.0,神奈川県
1,横浜京急バス,上3,48.0,神奈川県
1,横浜京急バス,上5,6.0,神奈川県
1,横浜京急バス,上7,34.0,神奈川県
1,横浜京急バス,上大岡駅方面　金沢文庫駅ゆき,1.0,神奈川県
1,横浜京急バス,追1,54.0,神奈川県
1,横浜京急バス,追2,17.0,神奈川県
1,横浜京急バス,追20,3.0,神奈川県
1,横浜京急バス,追3,34.5,神奈川県
1,横浜京急バス,追6,11.0,神奈川県
1,横浜京急バス,追7,4.0,神奈川県
1,横浜京急バス,田17,50.0,神奈川県
1,横浜京急バス,能1,65.5,神奈川県
1,横浜京急バス,能2,39.0,神奈川県
1,横浜京急バス,八20,24.0,神奈川県
1,横浜京急バス,八21,52.0,神奈川県
1,横浜京急バス,八8,61.0,神奈川県
1,横浜京急バス,富1,5.0,神奈川県
1,横浜京急バス,富2,20.5,神奈川県
1,横浜京急バス,富3,25.5,神奈川県
1,横浜京急バス,富5,13.0,神奈川県
1,横浜京急バス,富6,13.0,神奈川県
1,横浜京急バス,文1,100.5,神奈川県
1,横浜京急バス,文10,66.0,神奈川県
1,横浜京急バス,文11,58.5,神奈川県
1,横浜京急バス,文12,7.0,神奈川県
1,横浜京急バス,文13,42.0,神奈川県
1,横浜京急バス,文15,11.0,神奈川県
1,横浜京急バス,文16,4.0,神奈川県
1,横浜京急バス,文17,15.0,神奈川県
1,横浜京急バス,文18,25.0,神奈川県
1,横浜京急バス,文19,19.0,神奈川県
1,横浜京急バス,文2,1.5,神奈川県
1,横浜京急バス,文20,20.0,神奈川県
1,横浜京急バス,文21,0.0,神奈川県
1,横浜京急バス,文3,17.5,神奈川県
1,横浜京急バス,文5,6.0,神奈川県
1,横浜京急バス,文6,4.0,神奈川県
1,横浜京急バス,文7,72.5,神奈川県
1,横浜京急バス,文8,62.0,神奈川県
1,横浜京急バス,文9,34.5,神奈川県
1,横浜京急バス,六1,47.0,神奈川県
1,横浜京急バス,六2,11.0,神奈川県
1,横浜京急バス,六3,58.0,神奈川県
1,横浜交通開発,磯117,38.0,神奈川県
1,横浜交通開発,磯61,73.0,神奈川県
1,横浜神奈交バス,戸09,39.0,神奈川県
1,横浜神奈交バス,戸22,151.0,神奈川県
1,横浜神奈交バス,戸33,45.0,神奈川県
1,横浜神奈交バス,戸37,13.0,神奈川県
1,横浜神奈交バス,東02,28.0,神奈川県
1,横浜神奈交バス,東04,12.0,神奈川県
1,横浜神奈交バス,東23,19.0,神奈川県
1,下津井電鉄（株）,岡山〜東京線,1.0,神奈川県
1,鴨川日東バス,アクシー号,5.0,神奈川県
1,関越交通（株）,富士急ハイランド線,999.9,神奈川県
1,関東バス（株）,ほの国号,1.0,神奈川県
1,関東バス（株）,マスカット号,1.0,神奈川県
1,関東バス（株）,やまと号,2.0,神奈川県
1,関東バス（株）,東京ミッドナイトエクスプレス京都号,1.0,神奈川県
1,関東自動車（株）,とちの木号,1.0,神奈川県
1,関東鉄道（株）,水戸駅南口〜あべの橋駅（JR天王寺駅）,1.0,神奈川県
1,岩手県交通（株）,盛岡・横浜線,1.0,神奈川県
1,岐阜バス観光（株）,高速新宿線,1.0,神奈川県
1,宮城交通（株）,仙台〜大阪線,1.0,神奈川県
1,宮城交通（株）,仙台〜名古屋線,1.0,神奈川県
1,京王バス,桜84,3.0,神奈川県
1,京王バス,南63,26.0,神奈川県
1,京王バス南（株）,新宿〜伊那・飯田線,9.0,神奈川県
1,京王バス南（株）,新宿〜甲府線,9.0,神奈川県
1,京王バス南（株）,新宿〜松本線,11.0,神奈川県
1,京王バス南（株）,新宿〜身延線,2.0,神奈川県
1,京王バス南（株）,新宿〜諏訪・岡谷・茅野線,6.0,神奈川県
1,京王バス南（株）,新宿〜白馬線,2.0,神奈川県
1,京王バス南（株）,新宿〜飛騨高山線,3.0,神奈川県
1,京王バス南（株）,新宿〜富士五湖線,10.0,神奈川県
1,京王バス南（株）,新宿〜富士山五合目線,0.6,神奈川県
1,京王バス南（株）,新宿〜名古屋線,2.0,神奈川県
1,京王バス南（株）,新宿〜木曽福島線,1.0,神奈川県
1,京王バス南（株）,新宿・渋谷〜三島・沼津線,1.0,神奈川県
1,京王バス南（株）,新宿・渋谷〜神戸姫路線,1.0,神奈川県
1,京王バス南（株）,新宿・渋谷〜静岡線,3.0,神奈川県
