bus_stop_name,municipality,operator_1,operator_2,operator_3,route_type_1,route_type_2,route_type_3,note,longitude,latitude,prefecture
岡田出張所前,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.39137626513755,34.78507495307086,東京都
秋の浜入口,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.41129855867462,34.78413535631313,東京都
さくら小学校入口,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.38575606170917,34.78290350605297,東京都
岡田郵便局前,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.387709480368,34.78281075644734,東京都
大島空港ターミナル,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.36392074253862,34.78269038150531,東京都
泉津,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.41449223978591,34.782505594106254,東京都
桜通り,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.38234614127066,34.78241272163335,東京都
北の山,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.37189390444223,34.78042202443492,東京都
ふるさと体験館入口,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.36963273739983,34.77998698891793,東京都
大島空港入口,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.3652020568988,34.77884806630185,東京都
椿トンネル,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.4232677734491,34.77849792209548,東京都
地の岡,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.36352948255987,34.77555948099275,東京都
郷土資料館入口,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.3620868980657,34.771413499571146,東京都
椿・花ガーデン,大島旅客自動車（株）,三原山ライン,,,1,,,,139.3745299540647,34.77045119074705,東京都
大島高校前,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.36034211682838,34.7642481414338,東京都
めがね橋,大島旅客自動車（株）,レインボーライン,,,1,,,,139.4233033898174,34.76348881656174,東京都
桜株,大島旅客自動車（株）,レインボーライン,,,1,,,,139.42921300302535,34.763200925448544,東京都
椿の森公園,大島旅客自動車（株）,三原山ライン,,,1,,,,139.3805345812961,34.76229418051281,東京都
大島公園,大島旅客自動車（株）,"大島公園ライン,レインボーライン,大砂漠ライン",,,"1,1,1",,,,139.43359227189578,34.7618514467184,東京都
あじさいロード中央,大島旅客自動車（株）,レインボーライン,,,1,,,,139.41251321652888,34.76052989738604,東京都
湯場三叉路,大島旅客自動車（株）,"三原山ライン,レインボーライン",,,"1,1",,,,139.39629943621185,34.758049900137294,東京都
支庁前,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.35808545741304,34.75739828196402,東京都
三原山温泉,大島旅客自動車（株）,"三原山ライン,レインボーライン",,,"1,1",,,,139.40207421067504,34.75382377925185,東京都
元町北口,大島旅客自動車（株）,"大島公園ライン,波浮港ライン",,,"1,1",,,,139.35613405587765,34.75217574325523,東京都
元町港,大島旅客自動車（株）,"三原山ライン,大島公園ライン,波浮港ライン,ぶらっと・野田浜ライン",,,"1,1,1,1",,,,139.35307840545772,34.75175845859088,東京都
町役場前,大島旅客自動車（株）,大島公園ライン,,,1,,,,139.35600944667354,34.75035067628514,東京都
農協前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.35603059708723,34.749657981007054,東京都
元町南口,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.35688432990457,34.74669447082783,東京都
新火口展望台,大島旅客自動車（株）,"三原山ライン,レインボーライン",,,"1,1",,,,139.39159047655366,34.74628854948056,東京都
火山博物館前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.35866856602672,34.74379653547283,東京都
大昇団地前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.3580907198837,34.74133930281231,東京都
三原山頂口,大島旅客自動車（株）,"三原山ライン,レインボーライン",,,"1,1",,,,139.37997460724722,34.738056978514564,東京都
大宮神社前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.35657877952528,34.7337962719924,東京都
野増,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.3543618345365,34.731214307732905,東京都
大島大砂漠,大島旅客自動車（株）,大砂漠ライン,,,1,,,,139.43434617672466,34.729592656941044,東京都
清掃工場前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.35472510155208,34.72163994846239,東京都
千波,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.36640858570374,34.70593991783323,東京都
地層断面前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.3718296481134,34.703180626800155,東京都
筆島,大島旅客自動車（株）,大砂漠ライン,,,1,,,,139.44347871739959,34.701787710167686,東京都
砂の浜入口,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.38412358840608,34.69748732625425,東京都
間伏,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.38781585865684,34.69471044526071,東京都
大島町陸上競技場,大島旅客自動車（株）,"波浮港ライン,大砂漠ライン",,,"1,1",,,,139.4449131693021,34.693646414007205,東京都
波浮保育園前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.43695998272742,34.69003275658722,東京都
上の山,大島旅客自動車（株）,"波浮港ライン,大砂漠ライン",,,"1,1",,,,139.43952751791818,34.68971145814637,東京都
送信所前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.3953618418386,34.68763737711938,東京都
波浮港,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.43972121011154,34.68762613819623,東京都
波浮見晴台,大島旅客自動車（株）,"波浮港ライン,大砂漠ライン",,,"1,1",,,,139.4356302423221,34.68734052702643,東京都
三中前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.43499174870055,34.686171475374266,東京都
波浮西岸,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.43761933486607,34.68468474978051,東京都
差木地保育園前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.4070420016402,34.68432227784829,東京都
差木地入口,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.41215545070537,34.68330409469262,東京都
差木地南口,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.42083075820395,34.68294030533833,東京都
海洋国際高校前,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.43114366211316,34.68281013159149,東京都
差木地中央,大島旅客自動車（株）,波浮港ライン,,,1,,,,139.41674616903796,34.68223924382161,東京都
