bus_stop_name,municipality,operator_1,operator_2,operator_3,route_type_1,route_type_2,route_type_3,note,longitude,latitude,prefecture
馬場南,小田急バス（株）,"読02,読04,読05,生田折返場〜西菅団地",,,"1,1,1,1",,,,139.5361417389906,35.62301960101492,神奈川県
西菅団地,川崎市,登14,,,2,,,,139.52574532173276,35.62292634780602,神奈川県
西菅団地,小田急バス（株）,生田折返場〜西菅団地,,,1,,,,139.52574532173276,35.62292634780602,神奈川県
東土渕,川崎市,登14,,,2,,,,139.54756248667104,35.62283476291536,神奈川県
橋下,川崎市,"登06,登21",,,"2,2",,,,139.56449108809014,35.62271391896135,神奈川県
日野,神奈川中央交通西（株）,野08,,,1,,,,139.1526169022191,35.62197417834491,神奈川県
登戸駅入口,川崎市,"登06,登21",,,"2,2",,,,139.5677406825524,35.621963084538706,神奈川県
明王,川崎市,登14,,,2,,,,139.55082181543008,35.62164033026178,神奈川県
細山,小田急バス（株）,"読01,新07",,,"1,1",,,,139.51675850220485,35.62136849898068,神奈川県
小原,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.19955555902632,35.621253386417976,神奈川県
小原,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.19955555902632,35.621253386417976,神奈川県
千木良,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.20521509449054,35.62118944535583,神奈川県
千木良,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.20521509449054,35.62118944535583,神奈川県
登戸駅多摩川口,川崎市,"登06,登21",,,"2,2",,,,139.56994294845654,35.6211339841244,神奈川県
寺尾台団地,小田急バス（株）,読01,,,1,,,,139.53618106165865,35.62111687877887,神奈川県
登戸駅（生田緑地口）,川崎市,"直行/急行,登05",,,"2,2",,,,139.56999440408518,35.620510217826606,神奈川県
日本女子大東門,小田急バス（株）,"読02,読04,読05,生田折返場〜西菅団地",,,"1,1,1,1",,,,139.5336621559849,35.6204780757086,神奈川県
多摩病院前,川崎市,"登06,登21",,,"2,2",,,,139.5724448939577,35.62047180893564,神奈川県
登戸駅,長尾台コミュニティ交通導入推進協議会,長尾台地区：あじさい号,,,1,,,,139.5700991165172,35.620460778703965,神奈川県
貝沢住宅前,神奈川中央交通西（株）,湖23,,,1,,,,139.1794893490651,35.62001525315124,神奈川県
多摩区役所前,小田急バス（株）,"向10　専修大学前,向10　専修大学9号館,向11,向12,向13,向ヶ丘遊園駅〜登戸営業所,向ヶ丘遊園駅〜生田折返場",,,"1,1,1,1,1,1,1",,,,139.56388898851412,35.620000861439,神奈川県
岡本,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.21037404715355,35.61983814626328,神奈川県
登戸駅,川崎市,"溝06,登14",,,"2,2",,,,139.56878967301333,35.61972958879286,神奈川県
登戸,神奈川中央交通（株）,淵24,,,1,,,,139.5686044448039,35.61950047086072,神奈川県
平野,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.1966470436919,35.61945739264263,神奈川県
平野,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.1966470436919,35.61945739264263,神奈川県
多摩区役所前,川崎市,"溝06,登14",,,"2,2",,,,139.56170797976665,35.61944549717519,神奈川県
はるひ野駅入口,稲城市,平尾・南多摩駅路線,,,3,,,,139.46733923513597,35.619404740007845,神奈川県
はるひ野駅入口,小田急バス（株）,柿24　柿生駅北口〜若葉台駅,,,1,,,,139.46733923513597,35.619404740007845,神奈川県
大久保,小田急バス（株）,"読01,新07",,,"1,1",,,,139.518122237358,35.61939091163797,神奈川県
千木良小学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.20716918047302,35.61935645514213,神奈川県
多摩区役所前,神奈川中央交通（株）,淵24,,,1,,,,139.56301391077915,35.6192885240948,神奈川県
寺尾台一丁目,小田急バス（株）,読01,,,1,,,,139.5340397256655,35.61896527052149,神奈川県
多摩消防署前,川崎市,"溝06,登14",,,"2,2",,,,139.55968444800777,35.61886290444497,神奈川県
生田宿,川崎市,登14,,,2,,,,139.55619630989833,35.618779168107295,神奈川県
向原,小田急バス（株）,新04,,,1,,,,139.5003030079139,35.61867686172,神奈川県
下黒川,稲城市,平尾・南多摩駅路線,,,3,,,,139.47353150379737,35.61822932950115,神奈川県
下黒川,小田急バス（株）,"柿24　柿生駅北口〜若葉台駅,柿24　調布駅南口〜柿生駅北口,柿24　稲城駅〜柿生駅北口,若11",,,"1,1,1,1",,,,139.47353150379737,35.61822932950115,神奈川県
下黒川,神奈川中央交通（株）,"鶴21,鶴22,柿26,柿27",,,"1,1,1,1",,,,139.47353150379737,35.61822932950115,神奈川県
はるひ野駅,稲城市,平尾・南多摩駅路線,,,3,,,,139.4641455932042,35.61814524184315,神奈川県
新船島橋,川崎市,"登06,登21",,,"2,2",,,,139.57617968513148,35.61808472258355,神奈川県
与瀬神社前,神奈川中央交通西（株）,湖23,,,1,,,,139.18358991275065,35.61796618913783,神奈川県
多摩警察署前,川崎市,"溝06,登14",,,"2,2",,,,139.55817363645681,35.61782536009959,神奈川県
多摩警察署前,神奈川中央交通（株）,淵24,,,1,,,,139.55817363645681,35.61782536009959,神奈川県
多摩警察署前,小田急バス（株）,"向10　専修大学前,向10　専修大学9号館,向11,向12,向13,向ヶ丘遊園駅〜生田折返場,あざみ野駅〜登戸営業所",,,"1,1,1,1,1,1,1",,,,139.55817363645681,35.61782536009959,神奈川県
千代ヶ丘九丁目,小田急バス（株）,"新02,新03,新07",,,"1,1,1",,,,139.51061376917932,35.617813517005025,神奈川県
細山会館前,小田急バス（株）,"新02,新03,新07",,,"1,1,1",,,,139.51312116231063,35.617741448896105,神奈川県
千代ヶ丘,小田急バス（株）,"新02,新03,新09,新07",,,"1,1,1,1",,,,139.50757529348772,35.61771446302536,神奈川県
千木良診療所前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.20908883963972,35.61769901060344,神奈川県
向ヶ丘遊園駅,神奈川中央交通（株）,淵24,,,1,,,,139.56476380097467,35.61769594947347,神奈川県
向ヶ丘遊園駅,小田急バス（株）,"向10　専修大学前,向10　専修大学9号館,向11,向12,向13,向ヶ丘遊園駅〜登戸営業所,向ヶ丘遊園駅〜生田折返場",,,"1,1,1,1,1,1,1",,,,139.56476380097467,35.61769594947347,神奈川県
西生田小学校,小田急バス（株）,"読01,新02,新03",,,"1,1,1",,,,139.52018337556154,35.61715971336663,神奈川県
仲町,神奈川中央交通西（株）,湖23,,,1,,,,139.1867839265202,35.61711503201574,神奈川県
向原一丁目,小田急バス（株）,新04,,,1,,,,139.4991331824922,35.617111552707414,神奈川県
相模湖駅,神奈川中央交通（株）・神奈川中央交通西（株）,"湖21,湖28",,,"1,1",,,,139.18941380566616,35.61694627451181,神奈川県
相模湖駅,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.18941380566616,35.61694627451181,神奈川県
相模湖駅,神奈川中央交通西（株）,"湖22,湖23",,,"1,1",,,,139.18941380566616,35.61694627451181,神奈川県
神明社前,小田急バス（株）,"新02,新03,新07",,,"1,1,1",,,,139.51806098668933,35.616917136214155,神奈川県
細山交番前,小田急バス（株）,"新02,新03,新07",,,"1,1,1",,,,139.51560749039706,35.61691172707245,神奈川県
女子大前,小田急バス（株）,"読01,読02,読04,読05,生田折返場〜西菅団地",,,"1,1,1,1,1",,,,139.53099146635483,35.616908587541275,神奈川県
向ヶ丘遊園駅南口,東急バス（株）,"向02,向01,た83",,,"1,1,1",,,,139.56450531986712,35.61673362755233,神奈川県
向丘遊園駅南口,川崎市,"た83,溝06,溝19,登14",,,"2,2,2,2",,,,139.56450531986712,35.61673362755233,神奈川県
